Cell	Exp
2338	432.9004329004329
2349	75.96475235490732
2358	62.20065932698886
2364	93.86146048432514
2385	103.27377878756583
2388	292.22676797194623
2393	82.46742536698004
2394	188.64365214110546
2403	377.5009437523594
2411	127.37230925996688
2440	189.2147587511826
2445	63.536438147277465
2454	42.371085970933436
2456	138.77324451845683
2457	102.37510237510237
2458	117.36400445983217
2463	128.99896800825593
2480	96.44131545954286
2482	96.12149757293218
2485	130.96719271822408
2492	148.94250819183796
2497	415.8004158004158
2501	60.172092183645226
2503	85.09914049868097
2508	179.92083483267362
2513	391.84952978056424
2522	207.33982998133942
2526	190.00570017100512
2527	109.26573426573427
2529	143.51320321469575
2536	215.70319240724763
2542	101.11223458038423
2544	234.192037470726
2550	137.05201123826492
2560	379.79491074819595
2562	176.95983011856308
2580	85.84427847883939
2581	89.22198429693077
2610	66.49820454847719
2613	262.4671916010499
2622	48.866301798279906
2632	329.0556103981573
2635	373.55248412401943
2640	237.0791844476055
2655	135.31799729364005
2657	62.324711748208166
2662	229.41041523285156
2673	118.32919181161992
2682	49.544193420531116
2684	124.5640259093174
2686	764.2338555598013
2687	131.63957085499902
2697	150.67048365225253
2698	156.61707126076743
2707	40.791352233326535
2712	102.38558410975735
2718	249.81264051961028
2719	113.25028312570781
2736	85.79272477693891
2738	141.46272457207525
2758	147.3187978786093
2768	90.41591320072332
2770	59.42123715015747
2772	272.40533914464726
2773	311.96381219778505
2777	257.201646090535
2778	251.95263290501384
2785	266.4535038635758
2791	135.48299688389108
2794	363.24010170722846
2797	53.022269353128316
2800	322.99741602067184
2824	290.8244874218409
2835	102.5010250102501
2838	91.65062780680047
2841	251.19316754584275
2842	250.0
2871	173.61111111111111
2874	59.12262031453234
2877	508.73325419704935
2898	63.2231143706139
2911	58.58230814294083
2925	141.7836381681554
2926	45.81901489117984
2927	137.17421124828533
2932	189.25056775170324
2936	318.6743148502231
2948	243.42745861733204
2949	63.35529650278763
2951	154.44015444015443
2969	272.5538293813028
2980	86.82816705739342
2981	342.15328467153284
2984	215.47080370609783
2992	284.6569883290635
3000	66.36580833554552
3005	139.6843134515994
3006	81.79959100204499
3009	109.97470581766194
3010	135.99891200870394
3029	292.82576866764276
3031	74.839095943721
3032	421.22999157540016
3043	488.99755501222495
3044	82.8500414250207
3056	133.2267519317879
3070	35.758984444841765
3071	68.84207627702051
3091	92.13193292795283
3093	75.31821947729156
3095	141.5027593038064
3116	294.11764705882354
3119	242.48302618816683
3121	127.04865963664083
3131	141.622999575131
3132	61.04633416763323
3135	77.57951900698215
3140	159.83377287620874
3153	111.56978690170702
3155	155.59358954411078
3157	372.92560134253216
3181	62.33636703652911
3197	95.48362455838824
3203	69.67670011148272
3229	184.6381093057607
3234	80.98477486232588
3253	247.03557312252966
3259	164.17665407978984
3264	133.6719689881032
3267	200.7226013649137
3274	41.53686396677051
3287	105.18565267697485
3290	254.19420437214032
3304	228.2583884957772
3307	150.1726986033939
3312	77.82101167315174
3323	75.04127269998499
3326	153.35071308081584
3327	333.889816360601
3328	217.15526601520088
3343	300.39050765995796
3345	155.3036185743128
3354	63.5970490969219
3356	328.29940906106367
3364	70.89684509039348
3370	75.25586995785672
3378	45.941103505306195
3380	93.01460329271696
3381	40.961782656781224
3385	111.56978690170702
3389	244.2002442002442
3400	141.54281670205236
3407	76.54623392529088
3410	92.08951100469656
3424	172.59233690024163
3425	310.8486167236556
3455	168.52039096730704
3476	137.57050488375293
3493	134.68920466024647
3516	71.3877784123358
3521	339.328130302002
3545	205.80366330520684
3551	428.8164665523156
3554	153.28019619865114
3564	205.38098172109264
3583	186.01190476190476
3586	381.82512409316536
3590	84.09721638213774
3596	163.5322976287817
3609	150.55706112616681
3612	540.9791723018664
3614	196.46365422396858
3619	133.5826876836762
3628	186.27177051317872
3635	245.7002457002457
3636	340.83162917518746
3644	77.23200494284832
3647	89.99280057595392
3657	70.01330252748022
3662	244.61839530332682
3667	99.89012086704625
3671	93.06654257794322
3675	139.6258028483664
3678	127.79552715654953
3680	116.89070718877849
3682	165.50810989738497
3684	272.40533914464726
3694	147.5143826523086
3695	83.89965601141036
3701	87.68084173608067
3704	411.52263374485597
3710	78.34534628643058
3721	172.77125086385627
3742	108.01468999783971
3743	261.1647949856359
3773	176.88157778367383
3774	138.27433628318585
3781	62.515628907226805
3785	135.72204125950054
3791	99.57679860592482
3793	279.01785714285717
3805	119.84659635666347
3806	66.23832549513148
3808	40.98360655737705
3810	109.80564401010211
3818	68.2780281305476
3828	51.741087597661306
3831	137.4570446735395
3859	105.66356720202874
3865	62.66449429753102
3867	87.67315448009819
3869	151.83723048891588
3887	44.804874770375015
3901	203.66598778004072
3908	210.34917963819942
3912	30.02101471029721
3933	162.57519102584945
3947	147.14537963507945
3962	113.01989150090417
3963	90.72763563781528
3971	40.60748802079103
3980	176.21145374449338
3986	269.46914578280786
4003	138.811771238201
4006	59.86590038314176
4024	74.69375560203167
4027	59.41770647653001
4032	483.09178743961354
4033	42.06806613099996
4035	363.7686431429611
4039	443.85264092321347
4045	139.43112102621305
4054	100.80645161290323
4066	128.22156686754712
4067	205.54984583761563
4075	159.97440409534474
4079	97.88566953797964
4082	58.25638635635431
4094	106.98619878035733
4099	226.03978300180833
4107	211.10407430863415
4112	117.6470588235294
4115	433.4633723450368
4131	180.8972503617945
4133	172.47326664367023
4168	37.885963250615646
4177	241.6626389560174
4180	184.58698661744347
4191	39.32208721638945
4192	295.5956251847473
4199	62.01935003721161
4220	181.91740949608877
4225	54.510765876260564
4243	74.72166180975864
4248	100.28078620136382
4266	80.59966148142178
4277	261.5062761506276
4289	155.76323987538942
4297	114.39029970258522
4306	106.08391237468838
4307	78.41907151819322
4319	69.33370311308327
4321	29.286007145785742
4326	132.43279035889287
4334	218.96211955331728
4346	197.86307874950535
4356	175.34630896019638
4367	89.97660608241857
4371	217.3913043478261
4376	207.54638661740898
